"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ylin lämpötila [°C]"
"Enontekiö Kilpisjärvi Saana","2023","5","12","03:00","2.7"
"Enontekiö Kilpisjärvi Saana","2023","5","13","03:00","5.5"
"Enontekiö Kilpisjärvi Saana","2023","5","14","03:00","5.9"
"Enontekiö Kilpisjärvi Saana","2023","5","15","03:00","10.6"
"Enontekiö Kilpisjärvi Saana","2023","5","16","03:00","8.1"
"Enontekiö Kilpisjärvi Saana","2023","5","17","03:00","4.1"
"Enontekiö Kilpisjärvi Saana","2023","5","18","03:00","-1.6"
"Enontekiö Kilpisjärvi Saana","2023","5","19","03:00","5.4"
"Enontekiö Kilpisjärvi Saana","2023","5","20","03:00","4.8"
"Enontekiö Kilpisjärvi Saana","2023","5","21","03:00","9"
"Enontekiö Kilpisjärvi Saana","2023","5","22","03:00","11.1"
"Enontekiö Kilpisjärvi Saana","2023","5","23","03:00","12.4"
"Enontekiö Kilpisjärvi Saana","2023","5","24","03:00","4.4"
"Enontekiö Kilpisjärvi Saana","2023","5","25","03:00","2.4"
"Enontekiö Kilpisjärvi Saana","2023","5","26","03:00","-1.1"
"Enontekiö Kilpisjärvi Saana","2023","5","27","03:00","-0.3"
"Enontekiö Kilpisjärvi Saana","2023","5","28","03:00","5"
"Enontekiö Kilpisjärvi Saana","2023","5","29","03:00","2.3"
"Enontekiö Kilpisjärvi Saana","2023","5","30","03:00","0"
"Enontekiö Kilpisjärvi Saana","2023","5","31","03:00","1.7"
"Enontekiö Kilpisjärvi Saana","2023","6","1","03:00","-2.2"
"Enontekiö Kilpisjärvi Saana","2023","6","2","03:00","0.7"
"Enontekiö Kilpisjärvi Saana","2023","6","3","03:00","4.4"
"Enontekiö Kilpisjärvi Saana","2023","6","4","03:00","3.6"
"Enontekiö Kilpisjärvi Saana","2023","6","5","03:00","2.8"
"Enontekiö Kilpisjärvi Saana","2023","6","6","03:00","2.5"
"Enontekiö Kilpisjärvi Saana","2023","6","7","03:00","3.6"
"Enontekiö Kilpisjärvi Saana","2023","6","8","03:00","-0.7"
"Enontekiö Kilpisjärvi Saana","2023","6","9","03:00","6"
"Enontekiö Kilpisjärvi Saana","2023","6","10","03:00","11.5"
"Enontekiö Kilpisjärvi Saana","2023","6","11","03:00","12.6"
"Enontekiö Kilpisjärvi Saana","2023","6","12","03:00","8.3"
"Enontekiö Kilpisjärvi Saana","2023","6","13","03:00","6.5"
"Enontekiö Kilpisjärvi Saana","2023","6","14","03:00","9"
"Enontekiö Kilpisjärvi Saana","2023","6","15","03:00","6.7"
"Enontekiö Kilpisjärvi Saana","2023","6","16","03:00","10.4"
"Enontekiö Kilpisjärvi Saana","2023","6","17","03:00","16"
"Enontekiö Kilpisjärvi Saana","2023","6","18","03:00","19.4"
"Enontekiö Kilpisjärvi Saana","2023","6","19","03:00","21.4"
"Enontekiö Kilpisjärvi Saana","2023","6","20","03:00","19.6"
"Enontekiö Kilpisjärvi Saana","2023","6","21","03:00","15"
"Enontekiö Kilpisjärvi Saana","2023","6","22","03:00","16.7"
"Enontekiö Kilpisjärvi Saana","2023","6","23","03:00","15"
"Enontekiö Kilpisjärvi Saana","2023","6","24","03:00","14.8"
"Enontekiö Kilpisjärvi Saana","2023","6","25","03:00","10.7"
"Enontekiö Kilpisjärvi Saana","2023","6","26","03:00","10.8"
"Enontekiö Kilpisjärvi Saana","2023","6","27","03:00","18"
"Enontekiö Kilpisjärvi Saana","2023","6","28","03:00","16.3"
"Enontekiö Kilpisjärvi Saana","2023","6","29","03:00","17.8"
"Enontekiö Kilpisjärvi Saana","2023","6","30","03:00","16.8"
"Enontekiö Kilpisjärvi Saana","2023","7","1","03:00","14"
"Enontekiö Kilpisjärvi Saana","2023","7","2","03:00","6.3"
"Enontekiö Kilpisjärvi Saana","2023","7","3","03:00","10.6"
"Enontekiö Kilpisjärvi Saana","2023","7","4","03:00","12.6"
"Enontekiö Kilpisjärvi Saana","2023","7","5","03:00","11.2"
"Enontekiö Kilpisjärvi Saana","2023","7","6","03:00","14.4"
"Enontekiö Kilpisjärvi Saana","2023","7","7","03:00","16.6"
"Enontekiö Kilpisjärvi Saana","2023","7","8","03:00","14.1"
"Enontekiö Kilpisjärvi Saana","2023","7","9","03:00","15.2"
"Enontekiö Kilpisjärvi Saana","2023","7","10","03:00","19"
"Enontekiö Kilpisjärvi Saana","2023","7","11","03:00","21.9"
"Enontekiö Kilpisjärvi Saana","2023","7","12","03:00","18.5"
"Enontekiö Kilpisjärvi Saana","2023","7","13","03:00","19"
"Enontekiö Kilpisjärvi Saana","2023","7","14","03:00","14.6"
"Enontekiö Kilpisjärvi Saana","2023","7","15","03:00","15.2"
"Enontekiö Kilpisjärvi Saana","2023","7","16","03:00","14.6"
"Enontekiö Kilpisjärvi Saana","2023","7","17","03:00","12.6"
"Enontekiö Kilpisjärvi Saana","2023","7","18","03:00","13.3"
"Enontekiö Kilpisjärvi Saana","2023","7","19","03:00","7.7"
"Enontekiö Kilpisjärvi Saana","2023","7","20","03:00","7.7"
"Enontekiö Kilpisjärvi Saana","2023","7","21","03:00","7.2"
"Enontekiö Kilpisjärvi Saana","2023","7","22","03:00","8.9"
"Enontekiö Kilpisjärvi Saana","2023","7","23","03:00","7.5"
"Enontekiö Kilpisjärvi Saana","2023","7","24","03:00","12.4"
"Enontekiö Kilpisjärvi Saana","2023","7","25","03:00","11.2"
"Enontekiö Kilpisjärvi Saana","2023","7","26","03:00","15.3"
"Enontekiö Kilpisjärvi Saana","2023","7","27","03:00","13.7"
"Enontekiö Kilpisjärvi Saana","2023","7","28","03:00","16.2"
"Enontekiö Kilpisjärvi Saana","2023","7","29","03:00","12.2"
"Enontekiö Kilpisjärvi Saana","2023","7","30","03:00","9.9"
"Enontekiö Kilpisjärvi Saana","2023","7","31","03:00","14.3"
"Enontekiö Kilpisjärvi Saana","2023","8","1","03:00","11.7"
"Enontekiö Kilpisjärvi Saana","2023","8","2","03:00","12.2"
"Enontekiö Kilpisjärvi Saana","2023","8","3","03:00","14.4"
"Enontekiö Kilpisjärvi Saana","2023","8","4","03:00","16.3"
"Enontekiö Kilpisjärvi Saana","2023","8","5","03:00","12.2"
"Enontekiö Kilpisjärvi Saana","2023","8","6","03:00","13.6"
"Enontekiö Kilpisjärvi Saana","2023","8","7","03:00","13.7"
"Enontekiö Kilpisjärvi Saana","2023","8","8","03:00","21"
